Wine_Name,Winery_Name
Temjanika,OldSchool Winery
Temjanika,Wine Bar & Winery Mal Sv. Kliment
Temjanika,Winery Lazar
Temjanika,Winery Skovin
Temjanika,Winery Venec
Temjanika,Skovin AD Skopje Winery
Temjanika,Imako Vino Winery
Temjanika,GD Tikves Winery
Temjanika,Ivanov Winery
Temjanika,MILEV Winery
Temjanika,Traikovsky Wines & Spirits
Temjanika,Winery Bovin
Temjanika,Winery Paragon
Zilavka,Winery Popova kula
Zilavka,Winery Stobi
Zilavka,Winery Eros
Zilavka,Winery Venec
Zilavka,Winery Jostela
Zilavka,Wine Cellar Tikves AD Skopje
Zilavka,Imako Vino Winery
Zilavka,GD Tikves
Grasevina,Winery Kartal
Grasevina,Winery Brzanov
Grasevina,Winery Stobi
Grasevina,Winery Venec
Grasevina,Wine Cellar Tikves AD Skopje
Grasevina,Imako Vino Winery
Grasevina,GD Tikves Winery
Champagne,Winery Chateau Sopot
Champagne,Winery Lazar
Champagne,Winery Kamnik
Champagne,Winery Popov
